
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
14:B7:F8:CE:D7:68, 2022-05-21 17:10:16, 2022-05-21 17:10:20, 11, 130, WPA, CCMP TKIP, PSK, -86,        2,        0,   0.  0.  0.  0,   5, Kosta, 
E8:94:F6:33:09:A9, 2022-05-21 17:10:04, 2022-05-21 17:10:19,  4, 135, WPA2 WPA, CCMP TKIP, PSK, -86,       13,        0,   0.  0.  0.  0,   8, ZH_URBAN, 
64:EE:B7:B9:64:5B, 2022-05-21 17:10:03, 2022-05-21 17:10:18,  2, 270, WPA2, CCMP TKIP, PSK, -85,       44,        0,   0.  0.  0.  0,   6, Fatmir, 
2A:CD:C4:5F:A2:0F, 2022-05-21 17:10:09, 2022-05-21 17:10:09,  6, 130, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  27, DIRECT-0f-HP M227f LaserJet, 
5C:35:3B:6E:71:07, 2022-05-21 17:10:09, 2022-05-21 17:10:20,  6, 130, WPA2, CCMP, PSK, -89,        5,        0,   0.  0.  0.  0,   6, EDMOND, 
00:E0:20:6F:04:F7, 2022-05-21 17:10:05, 2022-05-21 17:10:20,  6, 130, WPA2, CCMP, PSK, -86,        9,        0,   0.  0.  0.  0,  13, Mondial 4_Ext, 
38:43:7D:4F:2D:08, 2022-05-21 17:10:02, 2022-05-21 17:10:17,  1, 195, WPA, CCMP TKIP, PSK, -83,       16,        0,   0.  0.  0.  0,   7, ONO6C32, 
C8:8D:83:50:52:12, 2022-05-21 17:10:04, 2022-05-21 17:10:19,  4, 130, WPA2, CCMP TKIP, PSK, -82,       20,        0,   0.  0.  0.  0,   6, Jonida, 
DC:53:7C:45:51:76, 2022-05-21 17:10:02, 2022-05-21 17:10:18,  1, 130, WPA2, CCMP TKIP, PSK, -78,       19,        1,   0.  0.  0.  0,  11, Abcom-wi-fi, 
80:14:A8:F4:09:D8, 2022-05-21 17:10:05, 2022-05-21 17:10:20,  6, 270, WPA2, CCMP TKIP, PSK, -74,       18,        0,   0.  0.  0.  0,   8, Telekooo, 
50:78:B3:D5:88:84, 2022-05-21 17:10:03, 2022-05-21 17:10:19,  9, 130, WPA2, CCMP TKIP, PSK, -71,       14,        3,   0.  0.  0.  0,  17, ALBtelecom-Ardian, 
00:2E:C7:3F:0C:28, 2022-05-21 17:10:04, 2022-05-21 17:10:19,  4, 130, WPA2, CCMP TKIP, PSK, -56,       25,        0,   0.  0.  0.  0,   6, JETMIR, 
5C:35:3B:82:44:59, 2022-05-21 17:10:03, 2022-05-21 17:10:20,  6, 130, WPA2, CCMP TKIP, PSK, -54,       28,        1,   0.  0.  0.  0,   4, KUKA, 
E4:72:E2:E5:B0:28, 2022-05-21 17:10:05, 2022-05-21 17:10:20, 11, 130, WPA2, CCMP TKIP, PSK, -47,       28,     1388,   0.  0.  0.  0,   6, EDUART, 
50:0F:F5:D0:F6:99, 2022-05-21 17:10:05, 2022-05-21 17:10:15,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
08:C0:21:33:D1:A0, 2022-05-21 17:10:07, 2022-05-21 17:10:14,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
3C:F8:08:36:2D:CC, 2022-05-21 17:10:15, 2022-05-21 17:10:15,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2C:AB:00:97:65:F6, 2022-05-21 17:10:20, 2022-05-21 17:10:20, 11, 130, WPA2, CCMP TKIP, PSK, -85,        1,        0,   0.  0.  0.  0,   5, Gezim, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C2:E9:92:8C:D8:AC, 2022-05-21 17:10:07, 2022-05-21 17:10:14, -88,        2, 08:C0:21:33:D1:A0,
EA:77:26:90:A9:B9, 2022-05-21 17:10:07, 2022-05-21 17:10:07, -88,        2, (not associated) ,
A2:49:F7:E6:E5:DF, 2022-05-21 17:10:12, 2022-05-21 17:10:15, -86,        5, 50:0F:F5:D0:F6:99,
22:F5:69:5F:15:3A, 2022-05-21 17:10:06, 2022-05-21 17:10:06, -86,        1, (not associated) ,
8A:89:A6:B2:23:D5, 2022-05-21 17:10:14, 2022-05-21 17:10:14, -86,        1, 5C:35:3B:B9:3B:9C,
2A:79:06:E8:3C:FB, 2022-05-21 17:10:08, 2022-05-21 17:10:08, -83,        3, 50:78:B3:D5:88:84,
94:E0:D6:04:05:B2, 2022-05-21 17:10:06, 2022-05-21 17:10:13, -82,        3, AC:22:05:E3:B9:11,
A4:45:19:FA:47:93, 2022-05-21 17:10:05, 2022-05-21 17:10:15, -81,        4, 50:0F:F5:D0:F6:99,
32:3D:78:44:C7:92, 2022-05-21 17:10:09, 2022-05-21 17:10:09, -79,        5, 80:14:A8:F4:09:D8,
9E:69:76:43:ED:7E, 2022-05-21 17:10:13, 2022-05-21 17:10:13, -79,        4, (not associated) ,
80:4E:70:7F:67:10, 2022-05-21 17:10:05, 2022-05-21 17:10:20, -47,     1392, E4:72:E2:E5:B0:28,
04:8D:38:CC:A1:00, 2022-05-21 17:10:05, 2022-05-21 17:10:05,  -1,        1, 5C:35:3B:82:44:59,
B8:D7:AF:94:80:7A, 2022-05-21 17:10:06, 2022-05-21 17:10:06,  -1,        1, DC:53:7C:45:51:76,

