
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
5C:35:3B:B9:3B:9C, 2022-05-21 18:05:06, 2022-05-21 18:05:16,  1,  -1, WPA, ,   ,  -1,        0,        7,   0.  0.  0.  0,   0, , 
50:0F:F5:D0:F6:99, 2022-05-21 18:05:07, 2022-05-21 18:05:07,  4,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
50:78:B3:D5:92:AC, 2022-05-21 18:05:11, 2022-05-21 18:05:11, 10,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2C:CF:58:21:37:A4, 2022-05-21 18:05:19, 2022-05-21 18:05:19,  1, 130, WPA2, CCMP TKIP, PSK, -89,        1,        0,   0.  0.  0.  0,   5, Rajan, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B6:CA:51:3F:3C:3D, 2022-05-21 18:05:08, 2022-05-21 18:05:08, -88,        2, (not associated) ,nick
AE:ED:27:5A:C8:DB, 2022-05-21 18:05:08, 2022-05-21 18:05:08, -87,        2, (not associated) ,
8A:89:A6:B2:23:D5, 2022-05-21 18:05:06, 2022-05-21 18:05:16, -86,        8, 5C:35:3B:B9:3B:9C,
80:4E:70:7F:67:10, 2022-05-21 18:05:08, 2022-05-21 18:05:19, -76,      117, E4:72:E2:E5:B0:28,
32:3D:78:44:C7:92, 2022-05-21 18:05:12, 2022-05-21 18:05:12, -74,        1, 80:14:A8:F4:09:D8,
04:8D:38:CC:A1:00, 2022-05-21 18:05:09, 2022-05-21 18:05:20, -42,        2, 5C:35:3B:82:44:59,
82:81:1D:DF:18:BC, 2022-05-21 18:05:06, 2022-05-21 18:05:21,  -1,      160, E4:47:B3:EF:69:6E,
A0:10:81:83:0F:2D, 2022-05-21 18:05:07, 2022-05-21 18:05:07,  -1,        1, 64:EE:B7:60:A4:A6,
2A:79:06:E8:3C:FB, 2022-05-21 18:05:08, 2022-05-21 18:05:11,  -1,       12, 50:78:B3:D5:88:84,
A6:F4:CC:11:8B:BB, 2022-05-21 18:05:19, 2022-05-21 18:05:19,  -1,        1, 64:EE:B7:60:A4:A6,
16:1D:25:27:91:73, 2022-05-21 18:05:22, 2022-05-21 18:05:22, -66,        2, 00:2E:C7:3F:0C:28,

